T_07,T_32,T_39,T_43,T_46,T_47,T_50,T_56,T_79,T_80,T_81,T_82,T_83,T_101,T_111,T_115,T_SC
1.2 ,8,20,2,2,1,4,509,8,1,1,13,896.00 ,36.00 ,1,1,66.96
1.0 ,6,38,4,2,0,2,2894,7,0,0,2,2507.00 ,0.00 ,0,0,68.93
0.4 ,5,30,0,1,0,0,397,6,0,0,0,457.50 ,0.00 ,0,0,58.21
0.8 ,6,37,0,1,0,0,1185,6,0,0,0,1146.00 ,0.00 ,0,0,63.12
1.2 ,7,41,2,2,2,2,18631,6,1,1,2,12401.50 ,16.00 ,1,1,70.56
1.4 ,10,12,3,4,1,3,1797,5,1,1,5,2326.00 ,123.00 ,1,1,75.86
1.8 ,7,12,5,3,2,7,3946,8,1,1,7,2756.50 ,284.00 ,1,1,73.16
1.2 ,14,26,0,3,3,1,4039,8,1,1,1,2921.50 ,158.50 ,1,1,76.57
0.4 ,14,28,0,1,0,0,3595,5,0,0,0,3066.00 ,15.50 ,0,1,57.22
0.4 ,10,35,0,2,2,0,1493,5,0,0,0,1538.00 ,0.00 ,0,0,61.48
1.0 ,10,12,3,4,0,4,4558,7,0,1,5,3816.50 ,23.00 ,0,1,57.67
0.4 ,6,47,0,1,0,0,959,8,0,0,0,858.50 ,0.00 ,0,0,60.48
0.8 ,11,24,0,5,0,2,1268,6,0,0,2,1517.00 ,0.00 ,0,0,63.25
1.0 ,12,20,0,3,0,2,2638,5,0,0,2,2892.00 ,0.00 ,0,0,61.99
1.2 ,11,28,1,3,3,1,2240,3,1,1,3,1120.00 ,114.50 ,1,1,72.52
0.8 ,11,14,0,6,2,0,3166,8,1,1,0,6326.50 ,52.00 ,0,1,62.59
1.0 ,4,15,4,3,1,0,694,8,1,1,0,744.00 ,27.50 ,0,1,68.33
1.2 ,18,19,1,5,2,0,6551,6,0,1,0,5935.00 ,171.50 ,1,1,57.17
0.6 ,4,27,0,2,1,0,897,7,1,1,0,1124.50 ,0.00 ,0,0,65.1
1.8 ,9,18,4,2,2,2,1073,8,1,1,2,1162.00 ,55.50 ,1,1,72.37
0.4 ,4,24,0,1,0,2,1578,7,0,1,2,2520.00 ,85.50 ,0,1,66.6
0.4 ,7,33,0,1,0,0,1344,9,0,0,0,1397.00 ,0.00 ,0,0,58.14
1.0 ,12,27,3,2,0,0,6488,7,0,1,0,4399.50 ,99.00 ,0,1,63.95
0.8 ,10,16,0,5,0,3,4444,7,0,1,3,6716.00 ,11.00 ,0,1,64.54
1.0 ,4,19,3,1,0,0,1541,6,0,1,0,1314.50 ,33.50 ,0,1,58.06
0.4 ,3,24,0,1,0,0,485,8,0,0,0,539.00 ,0.00 ,0,1,62.36
1.8 ,12,17,4,4,0,0,5047,7,0,1,0,4801.50 ,147.50 ,1,1,61.07
1.2 ,6,14,6,2,0,0,1750,9,0,0,0,2043.00 ,0.00 ,0,0,55.61
1.0 ,5,28,1,2,0,1,1525,7,0,0,1,2791.00 ,0.00 ,0,0,63.27
1.0 ,16,22,4,7,1,1,3370,8,1,1,1,3362.50 ,172.50 ,0,1,69.58
1.8 ,13,6,4,4,1,9,162,8,1,1,12,85.00 ,144.00 ,1,1,67.84
0.4 ,8,11,0,1,0,0,3003,8,0,0,0,1991.50 ,0.00 ,0,0,60.54
1.2 ,8,21,1,2,0,1,2658,9,0,1,1,2281.50 ,63.00 ,1,1,71.05
1.2 ,11,22,2,5,2,4,2477,7,1,1,4,1708.00 ,0.50 ,1,1,66
0.8 ,11,27,0,2,2,0,3670,8,0,0,0,3876.50 ,0.00 ,0,0,60.49
1.2 ,5,20,0,2,2,4,2029,9,1,1,5,1677.50 ,2.50 ,1,1,66.71
1.0 ,23,16,0,4,2,4,4297,5,1,1,6,5039.00 ,0.00 ,0,0,59.04
0.8 ,4,20,0,3,0,0,2974,8,0,1,0,3565.00 ,24.00 ,0,1,57.95
1.8 ,10,24,5,7,3,6,3642,8,1,1,8,3459.50 ,3.00 ,1,1,67.09
1.8 ,68,22,4,7,2,14,7792,7,1,1,16,7777.00 ,146.00 ,1,1,77.59
1.4 ,10,5,4,6,1,5,3084,8,1,1,5,5736.00 ,119.50 ,1,1,60.39
1.2 ,9,29,1,3,1,3,3498,9,1,1,8,3959.50 ,0.00 ,1,0,67.25
1.2 ,7,13,2,3,2,4,2777,6,1,1,4,2682.50 ,0.00 ,1,0,64.27
1.0 ,9,22,4,4,1,1,1969,9,1,1,1,1482.50 ,8.50 ,0,1,66.98
0.4 ,7,27,0,2,0,0,1007,9,0,0,0,885.00 ,0.00 ,0,0,61.67
0.6 ,10,34,0,3,1,0,2135,9,1,1,0,2491.00 ,49.50 ,0,1,60.69
1.2 ,12,10,1,3,2,3,2935,6,1,1,3,1878.00 ,87.50 ,1,1,68.66
1.2 ,15,14,2,5,2,0,2058,9,1,1,6,2339.50 ,229.50 ,1,1,68.38
1.8 ,73,25,6,7,4,6,15898,8,1,1,10,13132.50 ,21.00 ,1,1,74.32
0.8 ,10,27,0,6,0,1,11190,7,0,0,1,9823.00 ,0.00 ,0,0,68.93
0.4 ,10,18,0,1,1,0,7351,9,0,0,0,7313.00 ,0.00 ,0,0,60.25
1.0 ,10,11,1,3,3,1,1590,6,0,1,1,1382.50 ,56.50 ,0,1,68.88
1.0 ,6,10,3,2,0,0,1818,7,0,0,0,2027.00 ,0.00 ,0,0,53.58
1.2 ,11,8,5,3,1,3,2428,7,1,1,8,2424.00 ,14.50 ,0,1,64.17
0.4 ,49,7,0,5,2,0,4707,6,1,1,0,4804.00 ,12.50 ,0,1,59.34
0.4 ,5,30,0,1,1,0,1400,8,0,0,0,1424.50 ,0.00 ,0,0,63.78
1.0 ,31,15,0,4,3,1,4906,6,1,1,1,4046.00 ,0.00 ,0,0,68.62
1.8 ,32,22,5,4,2,0,4187,8,1,1,0,4092.00 ,46.50 ,1,1,68.37
1.2 ,5,21,0,1,2,1,2709,7,1,1,1,2283.00 ,0.00 ,1,0,61.06
0.6 ,13,8,0,3,2,0,2232,6,0,0,0,1696.00 ,0.00 ,0,0,54.68
1.4 ,16,11,3,4,2,4,1277,8,1,1,4,1317.50 ,108.00 ,1,1,60.13
0.6 ,14,10,0,2,1,0,15506,9,1,1,0,15711.00 ,0.00 ,0,1,61.72
0.6 ,2,1,0,1,0,0,1659,9,0,1,0,1891.00 ,46.50 ,0,1,58.56
1.4 ,23,10,3,5,1,6,2428,5,1,1,8,1830.00 ,0.00 ,1,0,70.46
1.2 ,27,18,6,4,0,0,5288,5,0,1,0,5598.00 ,22.50 ,0,1,63.56
0.4 ,4,32,0,1,0,0,471,3,0,0,0,615.50 ,0.00 ,0,0,61.81
1.0 ,12,6,2,3,2,2,3354,8,1,1,4,2940.50 ,16.00 ,0,1,63.87
1.0 ,15,14,2,2,2,2,2592,6,1,1,2,1554.50 ,37.00 ,0,1,60.8
0.6 ,16,18,0,2,0,4,3958,8,0,0,6,3669.50 ,0.00 ,0,0,59.57
1.2 ,153,13,2,5,1,4,24434,5,1,1,56,12969.50 ,100.50 ,1,1,71.38
1.0 ,22,49,0,3,0,2,2440,6,0,1,2,2493.00 ,5.50 ,0,1,68.76
0.4 ,5,23,0,1,0,0,2762,8,0,0,0,2303.00 ,0.00 ,0,0,59.26
1.2 ,19,17,0,2,4,1,5593,9,1,1,9,5082.00 ,0.00 ,1,0,71.83
0.4 ,13,39,0,1,0,0,1623,5,0,0,0,1620.50 ,0.00 ,0,0,70.92
0.4 ,20,19,0,2,0,0,3265,9,0,0,0,3080.50 ,0.00 ,0,0,59.16
1.8 ,50,34,6,3,0,0,7778,8,0,1,10,7013.00 ,0.00 ,1,0,72.26
0.4 ,9,3,0,2,0,2,2036,5,0,0,2,2396.50 ,6.50 ,0,1,59.46
1.4 ,17,26,3,3,3,2,5106,7,1,1,12,4175.50 ,83.50 ,1,1,70.71
0.8 ,16,19,0,6,0,1,2343,9,0,0,1,2489.00 ,0.00 ,0,0,67.86
1.0 ,15,29,1,4,3,2,13287,6,1,1,24,9802.00 ,9.00 ,0,1,65.75
0.6 ,25,18,0,2,0,0,5559,8,0,0,0,5119.00 ,0.00 ,0,0,61.86
1.0 ,8,10,4,2,0,0,1142,7,0,1,0,1248.00 ,22.00 ,0,1,56.19
1.2 ,7,17,5,5,0,1,7488,8,0,0,1,6368.00 ,0.00 ,0,0,62.3
1.8 ,9,6,5,3,1,7,1586,9,1,1,13,1744.50 ,85.00 ,1,1,63.1
1.0 ,5,9,2,3,0,2,2820,6,0,1,19,2362.50 ,36.00 ,0,1,57.9
0.6 ,7,29,0,3,1,0,1196,9,0,0,1,1438.00 ,0.00 ,0,0,59.55
1.0 ,37,27,2,3,2,0,5958,7,1,1,1,5200.50 ,96.50 ,0,1,65.72
0.4 ,6,17,0,2,1,0,2171,7,0,0,1,2456.00 ,0.00 ,0,0,53.27
1.0 ,8,22,4,3,0,0,1423,8,0,0,0,1338.00 ,0.00 ,0,0,58.59
1.0 ,10,18,3,4,0,0,1373,7,0,0,0,1306.50 ,0.00 ,0,0,61
0.6 ,12,21,0,2,0,0,1990,9,0,0,0,1778.50 ,0.00 ,0,0,56.61
0.4 ,5,11,0,2,0,0,0,6,0,0,0,0.00 ,0.00 ,0,0,56.97
0.4 ,9,9,0,1,0,0,4425,6,0,0,0,5390.50 ,0.00 ,0,0,58.6
0.4 ,9,17,0,1,0,0,23992,7,0,0,0,18777.00 ,0.00 ,0,0,54.15
1.8 ,22,8,5,6,3,10,10852,7,1,1,10,9295.00 ,224.00 ,1,1,74.22
0.4 ,4,17,0,1,0,0,2099,6,0,0,0,2143.50 ,0.00 ,0,0,60.87
0.4 ,11,11,0,2,1,1,2397,8,1,1,1,2575.50 ,0.00 ,0,0,60.73
0.4 ,48,23,0,2,2,1,18121,8,0,0,1,17179.50 ,0.00 ,0,0,68.2
0.4 ,18,12,0,1,0,0,2558,6,0,0,0,2437.50 ,0.00 ,0,0,57.32
0.4 ,8,18,0,1,0,0,4214,8,0,0,0,4247.50 ,0.00 ,0,0,54.05
0.4 ,16,18,0,1,0,0,9074,6,0,0,0,8185.00 ,0.00 ,0,0,61.27
0.6 ,16,17,0,2,0,0,6088,9,0,0,0,5351.50 ,0.00 ,0,0,62.6
0.4 ,12,13,0,1,0,0,7152,8,0,0,0,5300.00 ,0.00 ,0,0,51.97
0.4 ,7,6,0,2,0,0,10233,8,0,0,0,9505.50 ,0.00 ,0,0,65.8
1.2 ,20,10,0,4,0,0,2572,3,0,1,0,1286.00 ,0.00 ,1,0,60.79
0.4 ,18,11,0,2,0,0,16911,6,0,0,0,10973.50 ,0.00 ,0,0,61.08
0.4 ,6,20,0,2,0,0,2120,5,0,0,0,1876.00 ,0.00 ,0,0,52.38
0.4 ,6,30,0,1,0,0,5271,6,0,0,0,6149.50 ,0.00 ,0,0,59.66
0.4 ,6,17,0,1,0,0,0,6,0,0,0,0.00 ,0.00 ,0,0,47.09
0.4 ,11,18,0,1,0,0,3665,7,0,0,0,5886.50 ,0.00 ,0,0,69.14
0.4 ,5,16,0,1,0,0,7256,3,0,0,0,3628.00 ,0.00 ,0,0,47.68
0.8 ,17,32,0,3,0,0,12321,6,0,0,0,11633.50 ,0.00 ,0,0,62.82
0.4 ,9,16,0,2,0,0,2266,9,0,0,0,8183.50 ,0.00 ,0,0,63.4
0.4 ,13,5,0,2,0,0,11908,7,0,0,0,10309.00 ,0.00 ,0,0,62.95
0.6 ,11,2,0,2,0,0,0,5,0,0,0,0.00 ,0.00 ,0,0,54.43
0.4 ,7,25,0,2,0,3,1746,6,0,0,3,1147.50 ,0.00 ,0,0,65.6
0.4 ,11,17,0,2,0,0,10701,7,0,0,0,8170.00 ,0.00 ,0,0,59.36
1.0 ,22,36,4,5,2,1,31884,9,1,1,1,31870.00 ,0.00 ,0,0,69.52
0.6 ,9,17,0,2,0,0,3137,9,0,0,0,6696.00 ,0.00 ,0,0,56.31
0.4 ,6,18,0,1,0,0,3891,8,0,0,0,3254.50 ,0.00 ,0,0,61.06
0.6 ,10,9,0,8,0,0,1911,8,0,0,0,1492.50 ,0.00 ,0,0,58.12
1.4 ,18,20,3,5,1,0,3651,7,1,1,3,4581.00 ,169.00 ,1,1,67.47
0.6 ,10,24,0,5,0,0,4705,6,0,0,0,3937.00 ,0.00 ,0,0,69.74
0.6 ,8,13,0,2,0,0,1704,6,0,0,0,1486.00 ,0.00 ,0,0,55.8
0.8 ,8,31,0,2,0,0,3861,8,0,0,1,3711.00 ,0.00 ,0,0,60.96
0.4 ,11,17,0,1,0,0,2894,8,0,0,0,3025.00 ,0.00 ,0,0,59.35
0.6 ,10,19,0,6,0,0,3372,8,0,0,0,2902.50 ,0.00 ,0,0,66.4
0.4 ,4,6,0,1,0,0,913,9,0,0,0,840.50 ,0.00 ,0,0,60.3
0.4 ,13,34,0,1,0,0,967,6,0,0,0,1912.50 ,0.00 ,0,0,64.51
1.0 ,8,19,4,3,0,1,764,9,0,0,1,806.00 ,0.00 ,0,0,64.38
0.4 ,9,6,0,1,0,0,2180,3,0,0,0,1090.00 ,0.00 ,0,0,51.51
0.4 ,3,32,0,1,0,0,797,5,0,0,0,398.50 ,0.00 ,0,0,52.7
0.6 ,37,26,0,4,0,0,9355,8,0,0,0,8924.00 ,0.00 ,0,0,69.5
0.4 ,5,8,0,1,0,0,2986,6,0,0,0,2151.50 ,0.00 ,0,0,62.24
1.0 ,28,18,3,4,0,2,8375,8,0,1,3,8244.50 ,2.00 ,0,1,68.26
0.4 ,168,13,0,1,0,0,13264,7,0,0,0,8746.50 ,0.00 ,0,0,61.74
1.0 ,5,30,3,1,0,0,2647,9,0,0,0,3030.00 ,0.00 ,0,0,62.6
1.8 ,5,26,5,2,0,0,7285,8,0,1,2,4907.50 ,0.00 ,1,0,65.16
0.4 ,17,36,0,2,0,0,702,6,0,0,0,1658.50 ,0.00 ,0,0,68.01
0.6 ,16,16,0,2,0,0,5313,9,0,0,0,5705.00 ,0.00 ,0,0,64.54
0.4 ,5,14,0,1,0,0,1683,6,0,0,0,1343.00 ,0.00 ,0,0,56.02
0.6 ,7,31,0,2,0,2,15385,8,0,0,5,18678.50 ,0.00 ,0,0,67.21
0.4 ,20,17,0,2,0,0,2076,9,0,0,0,2305.00 ,0.00 ,0,0,65.92
1.4 ,17,18,3,5,1,1,6322,8,1,1,1,7545.00 ,188.00 ,1,1,70.43
0.4 ,20,20,0,4,0,0,3390,7,0,0,0,4322.00 ,0.00 ,0,0,63.94
0.4 ,2,0,0,1,0,0,33,5,0,0,0,71.50 ,0.00 ,0,0,46.73
0.2 ,5,21,0,0,0,0,0,3,0,0,0,0.00 ,0.00 ,0,0,50.5
1.2 ,15,23,1,6,0,1,2916,6,0,1,1,2032.50 ,113.50 ,1,1,60.86
1.2 ,13,20,0,3,2,5,763,8,1,1,10,493.00 ,10.00 ,1,1,72.73
1.2 ,17,8,2,4,1,3,2442,7,1,1,9,2224.50 ,539.50 ,1,1,67.95
1.2 ,29,4,2,16,2,19,5267,6,1,1,22,5716.00 ,616.50 ,1,1,73.68
1.4 ,61,3,3,5,1,1,6738,6,1,1,1,6791.00 ,61.00 ,1,1,69.28
1.8 ,11,26,5,4,1,0,1726,8,1,1,1,1319.50 ,70.50 ,1,1,73.82
1.4 ,9,12,3,6,1,4,1637,6,1,1,7,1607.00 ,688.50 ,1,1,69.52
1.4 ,77,6,4,6,3,2,13353,8,1,1,10,13081.50 ,48.50 ,1,1,69.18
1.2 ,47,9,0,6,1,0,3137,7,1,1,6,4719.00 ,17.00 ,1,1,61.02
1.8 ,13,16,6,1,0,0,615,9,0,1,1,889.00 ,102.50 ,1,1,62.1
1.8 ,29,15,6,16,3,7,1942,9,1,1,15,1428.50 ,59.00 ,1,1,86.69
1.4 ,60,14,4,20,0,1,5506,8,0,1,1,5033.50 ,8.50 ,1,1,65.39
1.8 ,7,17,5,6,1,10,845,7,1,1,134,660.50 ,115.50 ,1,1,73.69
1.2 ,25,5,0,10,7,2,0,3,1,1,3,0.00 ,0.00 ,1,0,77.48
0.4 ,9,18,0,2,0,0,3335,9,0,0,1,4155.50 ,0.00 ,0,0,65.01
0.4 ,70,4,0,1,1,0,3308,7,1,1,2,1755.00 ,0.00 ,0,0,56.7
1.8 ,5,6,5,4,0,3,1765,9,0,1,7,1490.50 ,174.50 ,1,1,66.92
1.8 ,24,16,5,12,1,6,2104,8,1,1,11,1853.00 ,323.50 ,1,1,81.32
1.8 ,25,17,4,10,1,20,479,7,1,1,35,419.00 ,429.00 ,1,1,79.91
1.4 ,37,24,3,6,0,10,6905,9,0,1,10,12862.00 ,0.00 ,1,0,73.01
1.0 ,46,31,0,7,0,0,5686,9,0,1,0,5379.50 ,16.00 ,0,1,73.59
1.4 ,25,5,3,5,1,0,5030,8,1,1,0,4886.00 ,0.00 ,1,0,61.47
1.8 ,121,28,6,13,3,11,64144,8,1,1,19,61312.50 ,954.00 ,1,1,77.16
1.2 ,12,5,1,3,1,3,2963,6,1,1,5,3920.50 ,7.00 ,1,1,57.13
1.2 ,16,14,2,5,2,3,1231,9,1,1,5,1423.50 ,189.50 ,1,1,71.87
1.4 ,15,26,4,6,2,10,293,8,1,1,14,383.00 ,106.50 ,1,1,82.45
1.2 ,15,4,1,6,2,0,4660,8,1,1,1,3079.50 ,0.00 ,1,0,64.42
1.4 ,113,29,4,60,1,0,6305,7,1,1,3,7824.00 ,402.00 ,0,1,76.23
0.8 ,10,28,0,4,0,0,317,5,0,0,0,267.50 ,0.00 ,0,0,63.81
0.4 ,5,9,0,1,0,0,625,8,0,0,0,839.00 ,0.00 ,0,0,60.03
0.4 ,6,18,0,1,0,0,2399,5,0,0,1,3711.50 ,0.00 ,0,0,59.07
0.4 ,3,6,0,1,0,0,412,5,0,0,0,454.00 ,0.00 ,0,0,53.66
0.4 ,5,11,0,1,0,0,3177,8,0,0,1,2163.00 ,0.00 ,0,0,60.44
0.4 ,3,29,0,1,0,0,497,8,0,0,0,540.00 ,0.00 ,0,0,54.44
1.2 ,17,19,0,5,1,1,4057,9,1,1,1,3227.50 ,0.00 ,1,0,71.01
0.6 ,6,5,0,2,0,0,618,8,0,0,0,2080.50 ,0.00 ,0,0,54.26
0.4 ,16,11,0,2,0,0,7466,6,0,0,0,5955.50 ,0.00 ,0,0,61.18
1.4 ,9,26,3,5,1,1,2430,6,1,1,2,2354.00 ,202.50 ,1,1,75.73
1.4 ,12,21,3,1,1,0,2837,8,1,1,1,2813.50 ,0.00 ,1,0,66.13
1.4 ,36,30,3,6,5,2,2919,7,1,1,2,2649.00 ,85.50 ,1,1,69.47
1.0 ,10,21,1,2,0,0,2815,7,0,1,0,2502.00 ,31.50 ,0,1,70.15
1.4 ,14,26,3,6,1,0,1336,8,1,1,0,1758.50 ,40.50 ,1,1,74.12
1.8 ,28,19,6,3,0,0,5222,9,0,1,1,4205.00 ,168.50 ,1,1,75.73
1.8 ,12,21,5,5,3,1,2814,8,1,1,7,2964.00 ,221.50 ,1,1,72.56
1.0 ,4,18,3,3,1,2,330,9,0,1,6,384.00 ,30.50 ,0,1,64.12
1.4 ,80,27,3,4,1,3,1354,5,1,1,15,834.00 ,168.50 ,1,1,80.4
1.4 ,30,19,4,5,0,0,2558,8,0,1,0,2976.50 ,0.00 ,1,1,72.33
0.6 ,3,21,0,2,0,0,0,7,0,0,0,0.00 ,0.00 ,0,0,60.21
0.6 ,11,21,0,2,0,0,0,7,0,0,0,0.00 ,0.00 ,0,0,60.21
1.8 ,26,20,5,3,2,6,3053,7,1,1,6,2456.00 ,386.50 ,1,1,71.1
1.4 ,46,4,4,15,1,11,0,6,1,1,12,0.00 ,3750.50 ,1,1,67.86
1.4 ,12,33,4,13,1,2,0,8,1,1,2,0.00 ,3709.50 ,1,1,71.85
1.2 ,8,11,2,5,1,1,921,7,1,1,1,1010.00 ,269.00 ,1,1,66.24
1.4 ,32,3,4,20,3,0,1614,8,1,1,0,1247.50 ,0.00 ,1,0,64.29
0.2 ,2,20,0,0,0,0,1815,8,0,0,0,1250.00 ,0.00 ,0,0,55.47
0.4 ,3,8,0,1,0,0,1408,7,0,0,0,2241.50 ,0.00 ,0,0,53.07
0.6 ,60,18,0,5,1,0,12730,7,1,1,16,11196.00 ,0.00 ,0,0,69.56
0.4 ,3,0,0,1,0,0,900,7,0,0,0,959.50 ,0.00 ,0,0,51.9
0.4 ,5,20,0,1,0,0,625,8,0,0,0,461.50 ,0.00 ,0,0,49.52
0.4 ,9,27,0,1,0,0,1248,6,0,0,0,1794.00 ,0.00 ,0,0,60.96
0.4 ,3,5,0,1,0,0,4533,7,0,0,0,4151.50 ,0.00 ,0,0,58.59
0.4 ,3,11,0,1,0,0,6469,6,0,0,0,4640.50 ,0.00 ,0,0,58.49
0.8 ,8,19,0,3,0,0,289,8,0,0,0,751.00 ,0.00 ,0,0,66.18
0.4 ,8,12,0,1,0,0,419,9,0,0,0,751.00 ,0.00 ,0,0,58.14
0.6 ,10,24,0,4,0,0,2228,8,0,0,0,1377.00 ,0.00 ,0,0,68.41
0.6 ,15,19,0,5,0,0,1787,7,0,0,0,1502.50 ,0.00 ,0,0,64.46
0.4 ,43,31,0,4,0,0,9707,6,0,0,0,7938.50 ,0.00 ,0,0,67.5
1.4 ,15,15,3,8,1,2,2612,5,1,1,3,2185.00 ,0.00 ,1,0,71.52
1.8 ,140,29,6,4,0,0,8103,8,0,1,0,8051.50 ,293.00 ,1,1,70.35
1.2 ,18,14,2,13,0,0,4797,9,0,1,0,4303.00 ,161.00 ,1,1,73.49
1.4 ,217,31,3,9,0,0,8684,6,0,1,0,8339.50 ,322.00 ,1,1,76.72
1.8 ,110,30,5,9,0,0,5821,7,0,1,0,5397.50 ,292.00 ,1,1,79.14
1.2 ,9,33,7,2,0,0,857,7,0,0,0,942.50 ,0.00 ,0,0,69.87
0.4 ,2,2,0,1,0,0,0,5,0,0,0,0.00 ,0.00 ,0,0,49.66
0.4 ,13,10,0,2,0,0,960,6,0,0,0,950.00 ,0.00 ,0,0,66.29
0.6 ,18,23,0,2,0,0,1944,5,0,0,0,1677.50 ,0.00 ,0,0,67.39
1.8 ,27,27,5,5,1,1,2769,9,1,1,1,2730.00 ,657.00 ,1,1,75.26
1.4 ,90,14,3,19,1,1,4474,7,1,1,1,3970.00 ,0.00 ,1,0,63.32
0.6 ,8,38,0,4,0,0,1670,8,0,0,0,1776.00 ,0.00 ,0,0,66.08
1.8 ,16,17,5,4,0,0,2379,7,0,1,0,2298.50 ,188.50 ,1,1,78.72
0.6 ,4,24,0,1,0,0,686,7,0,0,0,1775.00 ,0.00 ,0,0,64.86
0.6 ,20,10,0,3,0,0,8137,8,0,0,15,5732.50 ,0.00 ,0,0,62.91
1.2 ,13,22,2,10,0,0,4088,8,0,0,0,3083.00 ,0.00 ,1,0,71.55
0.8 ,5,14,0,2,0,0,1232,8,0,0,0,1691.50 ,0.00 ,0,0,63.42
1.0 ,7,25,2,4,0,0,1244,7,0,0,0,1505.00 ,0.00 ,0,0,62.23
1.2 ,15,21,2,6,1,2,4232,7,1,1,2,2808.50 ,77.50 ,1,1,69.68
0.8 ,40,24,0,3,0,0,2658,9,0,0,0,2862.00 ,0.00 ,0,0,65.61
1.4 ,9,18,3,6,1,1,2037,6,1,1,3,1731.50 ,48.00 ,1,1,78.24
0.4 ,4,14,0,1,0,0,304,8,0,0,0,544.50 ,0.00 ,0,0,58.2
0.4 ,7,2,0,1,0,0,1167,6,0,0,1,586.50 ,0.00 ,0,0,47.9
0.6 ,23,25,0,3,0,0,3892,7,0,0,0,3111.50 ,0.00 ,0,0,59.92
0.4,24,40,0,2,0,0,5980,12,0,0,0,5790.00 ,0.00 ,0,0,59.68
1.4,297,6,4,7,13,1,188919,8,1,1,26,158028.00 ,701.00 ,1,1,70.36
0.6,18,27,0,2,2,1,1672,25,0,0,1,1713.50 ,0.00 ,0,0,71.67
1.2,16,8,6,8,5,3,28443,10,1,1,40,17476.50 ,0.50 ,0,1,72.35
0.8,170,24,0,2,2,7,68632,68,0,1,69,74327.50 ,247.50 ,0,1,84.59
1,13,25,4,3,12,2,9487,16,1,1,11,8125.50 ,115.50 ,0,1,75.82
2,10,41,21,4,0,4,1257,27,0,1,4,863.50 ,184.00 ,1,1,73.12
1.2,37,44,5,11,4,6,11291,31,1,1,6,10733.00 ,118.00 ,0,1,77
0.2,1,27,0,0,0,0,1084,10,0,0,0,1406.00 ,0.00 ,0,0,62.88
1,7,13,2,2,0,0,3562,22,0,1,2,3411.00 ,12.50 ,0,1,67.76
1,23,9,1,4,0,0,3568,11,0,0,1,3499.50 ,0.00 ,0,0,67.55
1.2,26,14,8,3,5,0,11377,12,1,1,3,10158.00 ,20.50 ,0,1,71.09
1,115,39,0,3,4,3,22880,14,1,1,11,22875.00 ,231.50 ,0,1,84.56
1,35,17,0,3,4,1,37752,9,1,1,6,34130.00 ,5.00 ,0,1,68.92
2,153,23,12,11,2,1,60455,15,1,1,57,61028.50 ,253.00 ,1,1,82.95
0.4,18,29,0,1,3,2,9863,23,1,1,3,9898.50 ,22.50 ,0,1,76.41
1,10,13,4,3,1,2,5837,15,1,1,3,5081.50 ,6.50 ,0,1,66.28
2,181,36,15,10,1,5,70274,31,0,1,9,65669.00 ,0.00 ,1,1,80.74
1.2,17,29,9,1,3,0,4543,15,1,1,0,5119.00 ,66.50 ,0,1,65.84
1.2,64,25,6,4,1,3,8862,10,0,1,6,6314.50 ,92.50 ,0,1,68.21
1.2,150,19,2,26,1,0,61794,22,0,1,7,57169.50 ,0.00 ,1,0,68.27
1.6,39,9,5,17,5,3,8682,11,1,1,21,8855.50 ,108.50 ,1,1,73.76
2,4,22,21,2,2,2,2108,24,1,1,8,1723.00 ,174.00 ,1,1,70.95
0.4,37,12,0,3,0,0,6034,23,0,0,0,5593.00 ,0.00 ,0,0,58.52
0.4,16,22,0,2,1,0,6390,52,0,1,0,6391.50 ,13.00 ,0,1,59.32
1,29,32,3,3,2,0,30985,25,1,1,0,28385.50 ,30.00 ,0,1,79.65
2,171,36,12,4,3,0,53475,57,0,1,8,45793.50 ,99.50 ,1,1,74.59
1.2,30,46,7,2,2,4,40767,20,0,1,4,33431.50 ,65.50 ,0,1,73.33
0.4,9,12,0,1,1,0,1149,12,0,0,0,1172.50 ,0.00 ,0,0,55.62
0.4,9,19,0,1,1,0,4611,22,0,0,0,4920.00 ,0.00 ,0,0,60.16
0.4,7,19,0,1,2,0,931,9,0,0,2,790.00 ,0.00 ,0,0,62.31
0.8,13,15,0,2,3,0,3569,9,0,0,4,3490.50 ,0.00 ,0,0,61.25
1,5,11,2,3,0,0,1161,13,0,0,4,1734.50 ,0.00 ,0,0,59.21
2,121,27,10,4,6,1,29671,21,1,1,1,27013.50 ,178.00 ,1,1,78.31
2,14,43,20,4,2,17,2897,22,1,1,26,2790.00 ,195.50 ,1,1,77.62
0.4,3,7,0,1,1,2,1155,10,1,1,7,1133.00 ,0.00 ,0,0,66.34
0.6,4,22,0,1,0,0,10373,11,0,0,0,11299.50 ,0.00 ,0,0,65.96
0.6,36,14,0,3,0,1,37495,25,0,0,1,34115.00 ,0.00 ,0,0,68.79
1,37,27,0,3,4,1,4482,28,1,1,4,4426.50 ,14.00 ,0,1,75.1
0.8,25,19,0,3,1,0,10814,12,0,0,2,10961.50 ,0.00 ,0,0,67.44
1.2,33,22,7,4,5,2,9641,15,1,1,2,9088.00 ,95.50 ,0,1,66.57
0.4,9,21,0,1,0,0,13751,9,0,0,0,12217.50 ,0.00 ,0,0,67.3
1.6,6,20,5,2,1,1,3380,23,0,1,6,3575.00 ,2.00 ,1,1,70.35
2,92,18,35,9,3,0,39847,49,0,1,8,35559.50 ,0.00 ,1,0,86.67
